1673157515,A,51.263195,22.576740,0,27,0,84,51,0,0,0,0
1673157517,A,51.263196,22.576741,0,0,-1,84,51,0,0,0,0
1673157518,A,51.263191,22.576743,0,0,0,83,52,0,0,0,0
1673157520,A,51.263186,22.576743,0,0,-2,82,51,0,0,0,0
1673157521,A,51.263184,22.576744,0,0,0,84,52,0,0,0,0
1673157523,A,51.263181,22.576745,0,0,-1,83,54,0,0,0,0
1673157524,A,51.263179,22.576747,0,0,-1,85,52,0,0,0,0
1673157526,A,51.263178,22.576749,0,0,-1,83,53,0,0,0,0
1673157527,A,51.263178,22.576750,0,0,0,82,51,0,0,0,0
1673157529,A,51.263178,22.576750,0,0,0,84,53,0,0,0,0
1673157530,A,51.263179,22.576749,0,0,-1,82,53,0,0,0,0
1673157531,A,51.263179,22.576749,0,0,0,85,51,0,0,0,0
1673157533,A,51.263180,22.576748,0,0,-3,83,55,0,0,0,0
1673157534,A,51.263180,22.576747,0,0,-2,84,51,0,0,0,0
1673157536,A,51.263180,22.576747,0,0,-2,81,53,0,0,0,0
1673157537,A,51.263181,22.576745,0,0,6,82,56,0,0,0,0
1673157539,A,51.263181,22.576744,0,0,-1,82,53,0,0,0,0
1673157540,A,51.263181,22.576742,0,0,-2,83,54,0,0,0,0
1673157542,A,51.263180,22.576741,0,0,-1,83,53,0,0,0,0
1673157543,A,51.263178,22.576739,0,0,-1,83,52,0,0,0,0
1673157545,A,51.263177,22.576737,0,0,-1,83,53,0,0,0,0
1673157546,A,51.263175,22.576734,0,0,-1,84,52,0,0,0,0
